Uid,NickName,username,country,골드 수량,선물 수량,선물을 보낸 유저 수,선물 보낸 유저들 정보
"4926390696738816","쭈쭈❤️","myTRZxaNi","KR","1126","4","3","4919575703257088, 4806107095171072, 4830445314572288"
"6323028827701248","세무딘","sejinming","KR","1026","3","2","4934502530220032, 4613628345843712"
"4785801020637184","연우 Yeonwoo","KOREA_AV_SEXY","KR","1048","5","2","5652773686280192, 5887734689103872"
"5091801079283712","냠냠유아🤤💛","njS0PtmC","KR","1635","4","3","6079822966620160, 4680324655939584, 5720958612340736"
"6266435621421056","물망초","tomie_8282","KR","1004","1","1","6629410782183424"
"5396971677876224","탱글지림🖤","abcdefxxk","KR","1115","3","3","5188149288173568, 4861229542211584, 5559239981989888"
"4964788154007552","쑤 Soo💋","swai_sy","KR","1059","2","2","6058673051664384, 4966653128933376"
"6169656603508736",".","Ori_Kim","KR","1070","3","3","5077438956371968, 5720958612340736, 5351525427511296"
"5007586050768896","체리","Cherry1010","KR","1022","12","2","4705412683988992, 5664055488217088"
"5032640396460032","냥갱이🍡","nyanggang","KR","999","3","1","4680324655939584"
"5153487409971200","芯寶ㄦ","xinyu0427s","TW","4265","48","16","6333405652123648, 5827933094346752, 4665456142909440, 5604723481509888, 6195051383291904, 4758278518931456, 5700254243291136, 5439053691682816, 5589599186124800, 5091476266352640, 5083083476369408, 5409348646928384, 6302052622598144, 6691476224147456, 4894512750854144, 5393764226760704"
"5399219199606784","🍑큐리 curi🍑","Korean_peach","KR","1308","6","3","4823120983949312, 5034409052143616, 5407585616068608"
"5720538309525504","Maso🐈‍⬛","mebunni","TH","866","10","1","5034454720249856"
"6242184604811264","야누 YANU","yanuasmr","KR","866","4","1","6014572044550144"
"5885571614244864","니아 Nia","nia_re","KR","1619","5","2","6306532376772608, 4921952352731136"
